api,tool,run,interactions,2XX,4XX,5XX,401,403,covered_operations,unique_5XX,branch_coverage,line_coverage,method_coverage,area_2XX,area_4XX,area_5XX,area_401,area_403,area_covered_operations,area_unique_5XX,area_branch_coverage,area_line_coverage,area_method_coverage
market,morest,run-20240604-185956,20100,2482,14717,2901,-,-,9,2,0.017716535433070866,0.26246600181323665,0.33918918918918917,255446,1478908,295746,-,-,1806,401,3.5433070866141683,52.56346328195843,67.914864864865
genome-nexus,restler,run-20240605-103257,3900,1891,2009,0,-,-,12,0,0.17501764290755117,0.286069136824674,0.2484076433121019,32484,45516,0,-,-,232,0,5.792519407198309,10.01014282757193,8.201505500868556
genome-nexus,arat-rl,run-20240531-213940,3900,2001,1362,537,-,-,20,1,0.18772053634438957,0.286069136824674,0.25361899247249564,38529,26503,12968,-,-,716,39,6.743119266055048,10.747050300144894,9.631731325998846
genome-nexus,schemathesis,run-20240603-220711,3900,3100,587,213,-,-,15,1,0.18278052223006352,0.28793210515421236,0.2559351476548929,61249,12535,4216,-,-,558,39,6.910374029640087,10.983854274477327,9.751013317892303
genome-nexus,arat-rl,run-20240531-192849,3900,2247,1276,377,-,-,21,1,0.29075511644318985,0.37549161664251707,0.32020845396641573,44013,25753,8234,-,-,786,39,10.582215949188425,14.087766507969365,12.04284887087434
market,resttestgen,run-20240531-155834,20100,3847,11882,4371,-,-,11,16,0.03740157480314961,0.2955575702629193,0.37027027027027026,395253,1193704,441143,-,-,2169,2613,6.690944881889785,57.80870353581158,72.68648648648629
features-service,morest,run-20240604-220643,16400,225,121,16054,-,-,9,5,0.20238095238095238,0.4660831509846827,0.49710982658959535,28422,12423,1312155,-,-,1437,819,32.71428571428572,75.87746170678332,80.68208092485533
ncs,resttestgen,run-20240531-181218,22000,2142,19858,0,-,-,6,0,0.8511904761904762,0.9090909090909091,0.8620689655172413,242903,2188097,0,-,-,1319,0,177.27380952380997,193.67272727272695,188.9655172413788
scs,deeprest-e20-s20,run-20240531-195801,21000,19581,1419,0,-,-,11,0,0.503968253968254,0.6915254237288135,0.717948717948718,2054390,161110,0,-,-,2301,0,97.82142857142854,139.518644067797,149.974358974359
person-controller,deeprest-e20-s20,run-20240605-102557,17900,9410,796,7694,-,-,8,23,0.03333333333333333,0.7318435754189944,0.8172043010752689,899491,73019,638490,-,-,1429,3672,5.916666666666656,130.748603351955,145.9569892473115
scs,restler,run-20240604-193343,21000,19428,1572,0,-,-,11,0,0.3492063492063492,0.6135593220338983,0.717948717948718,1956946,258554,0,-,-,2218,0,70.6071428571428,124.15593220338941,145.66666666666663
market,restler,run-20240604-215947,20100,9617,1268,9215,-,-,9,10,0.017716535433070866,0.2665457842248413,0.34459459459459457,633829,158054,1238217,-,-,1607,1884,3.405511811023617,50.48186763372609,64.36891891891902
features-service,schemathesis,run-20240603-142737,16400,9175,1301,5924,-,-,8,6,0.15476190476190477,0.44638949671772427,0.4624277456647399,753090,106323,493587,-,-,1305,978,25.23809523809528,72.87308533916836,75.45664739884401
user-management,arat-rl,run-20240602-132332,21000,2749,12198,6053,-,-,12,3,0.09023354564755838,0.6693037974683544,0.5218446601941747,294758,1284885,635857,-,-,2480,577,18.398089171974526,134.574367088608,105.63592233009729
ncs,resttestgen,run-20240531-172205,22000,2139,19861,0,-,-,6,0,0.8154761904761905,0.8909090909090909,0.8620689655172413,239806,2191194,0,-,-,1319,0,167.78571428571396,188.20363636363683,188.9655172413788
features-service,morest,run-20240604-191502,16400,177,1263,14960,-,-,8,5,0.15476190476190477,0.4485776805251641,0.4624277456647399,18802,103551,1230647,-,-,1308,816,25.380952380952426,73.56673960612675,75.83815028901743
features-service,morest,run-20240603-164746,16400,69,29,16302,-,-,6,5,0.15476190476190477,0.39606126914660833,0.3988439306358382,11076,2142,1339782,-,-,979,818,25.023809523809565,64.53829321663002,65.06358381502916
market,deeprest-e20-s20,run-20240601-123334,20100,12603,6292,1205,-,-,12,19,0.047244094488188976,0.3023572076155938,0.37432432432432433,1280780,623479,125841,-,-,2354,3120,9.188976377952743,59.61423390752479,73.32837837837846
project-tracking-system,restler,run-20240604-210449,21700,9866,11468,366,-,-,19,1,0.041666666666666664,0.30585516178736516,0.38155136268343814,858959,1499603,6738,-,-,3351,217,8.739583333333346,64.45916795069317,79.13207547169824
features-service,restler,run-20240604-185141,16400,12846,877,2677,-,-,11,6,0.19047619047619047,0.48358862144420134,0.5202312138728323,896100,105567,351333,-,-,1671,956,30.40476190476183,77.57111597374157,83.00000000000009
ncs,deeprest-e20-s20,run-20240531-175447,22000,2987,19013,0,-,-,6,0,0.7023809523809523,0.8218181818181818,0.8620689655172413,470607,1960393,0,-,-,1273,0,147.01785714285765,174.91636363636366,187.55172413793056
market,schemathesis,run-20240603-142147,20100,4591,6042,9467,-,-,9,4,0.017716535433070866,0.2642792384406165,0.3418918918918919,453975,612031,964094,-,-,1787,797,3.5433070866141683,52.78014505892999,68.17702702702684
blog,morest,run-20240603-104654,25900,254,21329,4317,-,-,11,6,0.029522613065326633,0.382996632996633,0.3088042049934297,40805,2775844,550351,-,-,2622,1419,7.284547738693463,95.68350168350213,78.0407358738504
features-service,arat-rl,run-20240531-210658,16400,6097,1110,9193,-,-,18,12,0.6071428571428571,0.8096280087527352,0.7861271676300579,508371,87345,757284,-,-,2829,1760,91.71428571428574,127.23194748358883,124.7052023121385
